iter	MultiClass
0	1.593408165
1	1.574874815
2	1.556166487
3	1.543378541
4	1.523712577
5	1.509764944
6	1.49537285
7	1.484669977
8	1.476962897
9	1.462871857
10	1.453285657
11	1.446785446
12	1.446783014
13	1.43424046
14	1.425422238
15	1.418414066
16	1.412452392
17	1.406402863
18	1.399129892
19	1.390478137
20	1.388239618
21	1.380917819
22	1.371325353
23	1.366443469
24	1.360998497
25	1.355372073
26	1.350385198
27	1.339353494
28	1.336820152
29	1.330605305
30	1.326522416
31	1.318844216
32	1.318497507
33	1.311528444
34	1.311524858
35	1.308077287
36	1.303585627
37	1.29990375
38	1.298828923
39	1.298825777
40	1.295352266
41	1.295349494
42	1.293429289
43	1.293426817
44	1.287163303
45	1.286682537
46	1.284705291
47	1.284658035
48	1.275752744
49	1.271381015
50	1.26611727
51	1.258685398
52	1.25645113
53	1.256449452
54	1.250935788
55	1.246432653
56	1.246431348
57	1.241397304
58	1.238080925
59	1.23258751
60	1.230124141
61	1.229146057
62	1.222051047
63	1.222049678
64	1.222048423
65	1.220210683
66	1.218005928
67	1.213780482
68	1.211397468
69	1.207650173
70	1.203240723
71	1.196365236
72	1.19413016
73	1.189931683
74	1.187795953
75	1.185092601
76	1.180950066
77	1.176224342
78	1.17491873
79	1.172137613
80	1.171151503
81	1.167472114
82	1.167316742
83	1.164103382
84	1.160935554
85	1.16059157
86	1.160519952
87	1.158033131
88	1.156151265
89	1.154395915
90	1.151439277
91	1.15020345
92	1.148348075
93	1.148228245
94	1.148147571
95	1.148073346
96	1.148071941
97	1.148070653
98	1.146733982
99	1.143810399
100	1.140837917
101	1.136138654
102	1.133865453
103	1.133860473
104	1.130413358
105	1.129162794
106	1.125759323
107	1.123657531
108	1.122318751
109	1.121295467
110	1.117796306
111	1.113706919
112	1.111125414
113	1.108496226
114	1.108453974
115	1.10664307
116	1.101093867
117	1.098886728
118	1.098454492
119	1.098452894
120	1.095868891
121	1.09447461
122	1.092364066
123	1.091132081
124	1.091129965
125	1.088072437
126	1.084714184
127	1.081640656
128	1.080234312
129	1.077854967
130	1.076865862
131	1.07172581
132	1.070431767
133	1.066561475
134	1.063553182
135	1.063550147
136	1.061185879
137	1.057537383
138	1.054528031
139	1.051112879
140	1.046849536
141	1.046492298
142	1.04166391
143	1.040527291
144	1.040524171
145	1.038470307
146	1.035772563
147	1.035547115
148	1.034242013
149	1.031153208
150	1.031150126
151	1.02730748
152	1.026432372
153	1.025506137
154	1.020221677
155	1.018190606
156	1.012569624
157	1.00951579
158	1.006983679
159	1.006471064
160	1.004150901
161	1.00298555
162	0.9985812466
163	0.9954983644
164	0.9935856827
165	0.9898418766
166	0.9897503577
167	0.9860648567
168	0.9829762537
169	0.9793073236
170	0.9764949634
171	0.9764897403
172	0.9746815004
173	0.972438814
174	0.9677129615
175	0.9659260408
176	0.9641287319
177	0.9594661978
178	0.9562545648
179	0.9529859457
180	0.9479012244
181	0.9436451055
182	0.9376229684
183	0.9353022146
184	0.9347158798
185	0.9304190171
186	0.9287633617
187	0.9228759677
188	0.9195652575
189	0.9153511863
190	0.9118535116
191	0.9106907839
192	0.9089597022
193	0.9042283346
194	0.9034211861
195	0.8994064182
196	0.8962924823
197	0.8943053211
198	0.8899919781
199	0.885956207
200	0.8824163229
201	0.8789481402
202	0.8746200209
203	0.870457514
204	0.865955492
205	0.8622424001
206	0.8599336819
207	0.8556278451
208	0.8525970016
209	0.8498903567
210	0.8467097534
211	0.8430239509
212	0.838430551
213	0.834683688
214	0.8314294334
215	0.8286041638
216	0.8244908655
217	0.8222127992
218	0.8197580024
219	0.817362055
220	0.8160515473
221	0.8127188457
222	0.8116455086
223	0.8084524186
224	0.8040056241
225	0.8014698782
226	0.7994165655
227	0.7967151277
228	0.7942955547
229	0.7907432308
230	0.788484545
231	0.7849596033
232	0.7825690949
233	0.7811017473
234	0.7795118084
235	0.7771705856
236	0.7735526383
237	0.7707017875
238	0.7685237816
239	0.7651284894
240	0.763491338
241	0.7602306704
242	0.7586831203
243	0.7554068205
244	0.7534704443
245	0.7519788565
246	0.7489790265
247	0.7466270117
248	0.744260388
249	0.741805629
250	0.7390949513
251	0.7375899194
252	0.7351717656
253	0.732450584
254	0.7294747304
255	0.7280687962
256	0.7263191254
257	0.7250949946
258	0.7222577204
259	0.7215159193
260	0.7204792334
261	0.7182771115
262	0.7156102822
263	0.713864965
264	0.7126092983
265	0.7104330358
266	0.7085022202
267	0.7068324335
268	0.7034162302
269	0.7002660881
270	0.6974177074
271	0.6945334051
272	0.6931370054
273	0.691909563
274	0.689393131
275	0.6871374367
276	0.6849633754
277	0.6826992223
278	0.6805524004
279	0.678754134
280	0.676464807
281	0.674884907
282	0.6737159565
283	0.6710218615
284	0.6705313792
285	0.6684869847
286	0.6660763694
287	0.6637109321
288	0.6616202681
289	0.6604614707
290	0.6579920849
291	0.6557086613
292	0.6535637903
293	0.6508255884
294	0.6490992499
295	0.6478196523
296	0.6463023052
297	0.6453652492
298	0.6437342062
299	0.6414890897
300	0.6396995142
301	0.6374382395
302	0.6362763095
303	0.6341947385
304	0.632685209
305	0.6300722721
306	0.6287615194
307	0.6267856009
308	0.6246934322
309	0.623271193
310	0.6206726792
311	0.6184181583
312	0.6178016715
313	0.6167324854
314	0.6139484165
315	0.6124875791
316	0.6115671077
317	0.6092074987
318	0.6076653984
319	0.6053452901
320	0.6034938921
321	0.6020152651
322	0.6006383584
323	0.5983997584
324	0.596747616
325	0.5952037021
326	0.5932659303
327	0.5926261515
328	0.5902790989
329	0.5886514211
330	0.5880860796
331	0.5865215577
332	0.5847092068
333	0.5829560371
334	0.5812660009
335	0.5797073383
336	0.5782379505
337	0.5780283583
338	0.5763462595
339	0.5751046976
340	0.5736073853
341	0.5721766795
342	0.57035036
343	0.5691909067
344	0.5674394259
345	0.5662529474
346	0.5658456798
347	0.5650829594
348	0.5633241233
349	0.5621405508
350	0.5604335565
351	0.5588338252
352	0.5573828323
353	0.5550080626
354	0.5541862126
355	0.5536910043
356	0.5527670707
357	0.5519827131
358	0.5501567948
359	0.5492645739
360	0.5488875187
361	0.5468457224
362	0.5454798291
363	0.5444624079
364	0.5440970319
365	0.54310338
366	0.5421002355
367	0.540897686
368	0.5399875978
369	0.5383136679
370	0.5368051191
371	0.5358606547
372	0.5345604211
373	0.5329018678
374	0.5316519589
375	0.5303219158
376	0.5287724132
377	0.5273671451
378	0.5258673186
379	0.5243361981
380	0.5228238948
381	0.521924528
382	0.5209495486
383	0.5199431306
384	0.5183993631
385	0.517333052
386	0.5164071173
387	0.5149427738
388	0.5137713646
389	0.5123383951
390	0.5116077101
391	0.5102532724
392	0.5089142206
393	0.5076846736
394	0.5064985466
395	0.5057531093
396	0.5054414695
397	0.5049948504
398	0.5038996028
399	0.5027925754
400	0.5016136438
401	0.5002769621
402	0.4992056573
403	0.4987954194
404	0.4974670235
405	0.496253812
406	0.4948159479
407	0.4939659399
408	0.4933926884
409	0.4923890699
410	0.4911324771
411	0.4901847162
412	0.4895862351
413	0.4889561035
414	0.4878769802
415	0.4868371975
416	0.4857395802
417	0.484303397
418	0.4826929114
419	0.4823726863
420	0.4808153297
421	0.4800233301
422	0.4788319041
423	0.478682654
424	0.4777785251
425	0.4768294232
426	0.4761790121
427	0.4752890124
428	0.4744713687
429	0.4736012127
430	0.4727773376
431	0.471763797
432	0.4703179549
433	0.4688427302
434	0.4686799353
435	0.4683349531
436	0.4678957799
437	0.4667968444
438	0.465944427
439	0.4648064535
440	0.4645710317
441	0.463919183
442	0.4625563389
443	0.4613075561
444	0.4603094984
445	0.459523029
446	0.4590295948
447	0.4578668893
448	0.4569327586
449	0.4563475226
450	0.4553055758
451	0.4547116274
452	0.4536642795
453	0.4531012803
454	0.452034444
455	0.4509444101
456	0.4497378443
457	0.4488639807
458	0.4479709844
459	0.4475660537
460	0.4464783275
461	0.4453781654
462	0.443729543
463	0.4427583407
464	0.4422569183
465	0.4409583034
466	0.440421387
467	0.4393050533
468	0.4382457849
469	0.4373354875
470	0.4365887615
471	0.4361329246
472	0.435161205
473	0.4341379773
474	0.4336635306
475	0.4332819964
476	0.4324181699
477	0.431521509
478	0.4308242933
479	0.4295561219
480	0.4288220642
481	0.4277309608
482	0.4274394521
483	0.4267831825
484	0.4260981463
485	0.4251638048
486	0.4244057665
487	0.4238996959
488	0.4229751938
489	0.421703029
490	0.4216213577
491	0.4211975379
492	0.4200313094
493	0.4196875662
494	0.4192114117
495	0.4183491534
496	0.4179286144
497	0.4175792909
498	0.4168570281
499	0.4152673807
500	0.414391752
501	0.4134118961
502	0.413100249
503	0.4120786057
504	0.411759473
505	0.4112585762
506	0.4107014684
507	0.4105497995
508	0.410041974
509	0.4096368399
510	0.4089942291
511	0.4082159681
512	0.4073499092
513	0.4069619513
514	0.4063861433
515	0.4053920766
516	0.4043740918
517	0.4036609598
518	0.403523405
519	0.403156552
520	0.4025987369
521	0.4017348191
522	0.4013904606
523	0.4005207056
524	0.4001281399
525	0.399316162
526	0.3983249624
527	0.3978586498
528	0.3970873303
529	0.3968742227
530	0.3964764286
531	0.396164519
532	0.3954196353
533	0.3946142333
534	0.393851005
535	0.3929639982
536	0.3925536578
537	0.3916835699
538	0.390929629
539	0.3905546833
540	0.3899033616
541	0.3889520757
542	0.3883250654
543	0.3876797439
544	0.386576537
545	0.3864271936
546	0.3856477157
547	0.3848863045
548	0.3843533276
549	0.3836381007
550	0.3826135388
551	0.3818570115
552	0.3811684974
553	0.380539224
554	0.3804064068
555	0.3800729364
556	0.3798722774
557	0.3792727215
558	0.3789659705
559	0.3788140814
560	0.3781686506
561	0.3777655674
562	0.3775076615
563	0.376575086
564	0.3763292838
565	0.3759631865
566	0.3751980791
567	0.3748975512
568	0.3743143103
569	0.3734304571
570	0.3729000719
571	0.3720128497
572	0.3716767418
573	0.3709636724
574	0.3706225589
575	0.3699196883
576	0.3691825724
577	0.368779033
578	0.3681955045
579	0.367742832
580	0.3671882368
581	0.3668145132
582	0.3662842813
583	0.3658966985
584	0.3653608307
585	0.3649860663
586	0.3640668441
587	0.3634598696
588	0.363079477
589	0.3628684826
590	0.3624644809
591	0.3618344763
592	0.3613742545
593	0.3607599932
594	0.3604840565
595	0.3600769288
596	0.3592673026
597	0.3584600949
598	0.3580997046
599	0.3574635297
600	0.357073871
601	0.3569532012
602	0.356231183
603	0.3558963714
604	0.3554013714
605	0.3549628385
606	0.3548964235
607	0.3543417757
608	0.35372388
609	0.3536105771
610	0.3528734734
611	0.3524433875
612	0.3523003381
613	0.351884429
614	0.3515585385
615	0.3508256576
616	0.3504540164
617	0.3499323534
618	0.3494499367
619	0.3490196742
620	0.3485957816
621	0.3479572162
622	0.3468450206
623	0.3463064074
624	0.3457903854
625	0.345127558
626	0.3444698267
627	0.3440237021
628	0.3435966035
629	0.3432019541
630	0.3429008266
631	0.3422991635
632	0.3421159334
633	0.341534752
634	0.3409893851
635	0.3403404905
636	0.3400226629
637	0.3393626151
638	0.3387697875
639	0.3383781238
640	0.3377674131
641	0.3375287573
642	0.3369563327
643	0.3367354812
644	0.3362160198
645	0.3356034144
646	0.3352985625
647	0.3351957148
648	0.3346457607
649	0.3345995677
650	0.3344413504
651	0.3337918013
652	0.3333241301
653	0.3328559708
654	0.3326981082
655	0.3322649518
656	0.3318693069
657	0.3315760991
658	0.3313047272
659	0.330738675
660	0.3303612141
661	0.3301613841
662	0.3299250796
663	0.3296905782
664	0.3293578327
665	0.3286976723
666	0.3280980187
667	0.3277249097
668	0.3273294045
669	0.3271044546
670	0.326872121
671	0.3267128331
672	0.3261421693
673	0.325850679
674	0.3254905548
675	0.3247891081
676	0.3242219045
677	0.3238511388
678	0.3232537643
679	0.3231007072
680	0.3227559295
681	0.3226136986
682	0.3221983232
683	0.3219307833
684	0.3213650737
685	0.3209987374
686	0.3203197073
687	0.3196947678
688	0.3194847703
689	0.3189392111
690	0.3184866223
691	0.3181685638
692	0.3178413512
693	0.3176170003
694	0.3172638225
695	0.3168982991
696	0.3165036659
697	0.3163318868
698	0.3160966762
699	0.3155024053
700	0.3150926729
701	0.3149152454
702	0.3144674774
703	0.3141930108
704	0.3136277377
705	0.3132361788
706	0.3130028822
707	0.3129425787
708	0.3123558524
709	0.3120147701
710	0.3117132048
711	0.3112464075
712	0.3105906632
713	0.3100236034
714	0.3098735908
715	0.3092402304
716	0.3090366732
717	0.3085419635
718	0.3079242268
719	0.3077341281
720	0.307353515
721	0.3071692294
722	0.3066816657
723	0.3061825843
724	0.3057835456
725	0.305539128
726	0.3051520877
727	0.3047681716
728	0.3041662912
729	0.3039235861
730	0.3035033884
731	0.3032289654
732	0.302991635
733	0.3025290873
734	0.3021704883
735	0.3018424338
736	0.3015132211
737	0.3011881855
738	0.3005835159
739	0.3003039808
740	0.2997920474
741	0.2992863839
742	0.2990458623
743	0.29863657
744	0.2982104212
745	0.2978945621
746	0.2973955748
747	0.2968534482
748	0.2967094642
749	0.296368707
750	0.2960002283
751	0.2957096426
752	0.2954904306
753	0.295287993
754	0.2949798626
755	0.2947983945
756	0.2946331779
757	0.2941693637
758	0.2936923877
759	0.2935586704
760	0.2932767718
761	0.2928590422
762	0.2927188515
763	0.292390094
764	0.2918513173
765	0.2916098947
766	0.2911371129
767	0.2907090031
768	0.2898888729
769	0.2895709969
770	0.2891823212
771	0.2889893966
772	0.2888907825
773	0.2882209405
774	0.2881529463
775	0.2878758057
776	0.2877369136
777	0.2874427611
778	0.2872356504
779	0.2867074288
780	0.2862565808
781	0.2861613816
782	0.2860256938
783	0.2858708351
784	0.2856346459
785	0.2854977085
786	0.285239215
787	0.2848034213
788	0.2845293123
789	0.2841525876
790	0.2837760805
791	0.2835383067
792	0.283381601
793	0.2830774818
794	0.2827158876
795	0.2824392719
796	0.2821684054
797	0.28152268
798	0.2810184238
799	0.2804960849
800	0.2803588512
801	0.2800393968
802	0.2797235366
803	0.2795028161
804	0.2792481025
805	0.2786983028
806	0.2780445739
807	0.2777925152
808	0.277690677
809	0.2773836723
810	0.2772130853
811	0.2768143066
812	0.2766190804
813	0.2764300262
814	0.2762842457
815	0.2755723848
816	0.2750722823
817	0.2746323422
818	0.2744502638
819	0.2742037575
820	0.2737902127
821	0.2733682786
822	0.2729139874
823	0.2725377177
824	0.2723182713
825	0.2720106601
826	0.271692516
827	0.2712971069
828	0.2709890834
829	0.270575846
830	0.2704125739
831	0.2701776073
832	0.2700954072
833	0.2696105554
834	0.26940001
835	0.269112723
836	0.2689572938
837	0.268495538
838	0.2682139093
839	0.267913111
840	0.2676709479
841	0.2673304558
842	0.2668812208
843	0.2666443362
844	0.2665138347
845	0.2661842682
846	0.2658713116
847	0.2656608863
848	0.2654642436
849	0.2650710645
850	0.2649431934
851	0.2646188907
852	0.2644660917
853	0.2643707217
854	0.2640473917
855	0.2639762572
856	0.2636916918
857	0.2633042043
858	0.2628910746
859	0.2627884678
860	0.2624557692
861	0.2619861534
862	0.261811962
863	0.2614928937
864	0.2612460816
865	0.2609596569
866	0.2605718639
867	0.2604053635
868	0.2599529999
869	0.2597462709
870	0.2595586386
871	0.259144517
872	0.2589511904
873	0.2586641566
874	0.2586259835
875	0.2583579651
876	0.2581189273
877	0.2576955822
878	0.2574303042
879	0.2571126376
880	0.2569752486
881	0.2563254568
882	0.2559154432
883	0.2558244702
884	0.2555770235
885	0.2551747337
886	0.2548956214
887	0.2545979842
888	0.2544037561
889	0.2542223015
890	0.2539690525
891	0.2537038971
892	0.2534396643
893	0.2530354112
894	0.2526570414
895	0.2526146425
896	0.2523593956
897	0.2520937984
898	0.251686078
899	0.2512608063
900	0.2510927373
901	0.250752928
902	0.2505773273
903	0.2504482794
904	0.2501019069
905	0.2497615286
906	0.2496219718
907	0.2492090224
908	0.2489888713
909	0.2488070135
910	0.2484610023
911	0.2481027206
912	0.2478266093
913	0.247677539
914	0.2475530315
915	0.2475016776
916	0.2473861723
917	0.247149926
918	0.2467476391
919	0.2464910877
920	0.2462749243
921	0.2459641971
922	0.2457048472
923	0.2454692065
924	0.2452347148
925	0.2449011083
926	0.244800454
927	0.2446149217
928	0.2443223721
929	0.2442253434
930	0.243989024
931	0.2437708696
932	0.2435218465
933	0.2431656822
934	0.2427358044
935	0.2422062916
936	0.241895483
937	0.2418302798
938	0.2414618223
939	0.2412941281
940	0.2410303363
941	0.2406337804
942	0.240430147
943	0.2401663675
944	0.2400476868
945	0.2399275806
946	0.2395536263
947	0.2395121911
948	0.2394724422
949	0.2393269286
950	0.2389966821
951	0.2388386396
952	0.2387592288
953	0.2385656595
954	0.2385090526
955	0.238345814
956	0.2380110995
957	0.2378583112
958	0.2376837787
959	0.2376522942
960	0.2375299117
961	0.2373917408
962	0.2372930154
963	0.2369813436
964	0.2367091549
965	0.2363326488
966	0.2359323182
967	0.2355658083
968	0.2354023287
969	0.2348692413
970	0.2346726825
971	0.2343660372
972	0.2339951882
973	0.2338459405
974	0.2336943632
975	0.2336307112
976	0.2333299398
977	0.2332227995
978	0.2328165275
979	0.2324803001
980	0.2323609936
981	0.2320087756
982	0.2318931315
983	0.2316860776
984	0.2312195865
985	0.2310335745
986	0.2307707448
987	0.2307001393
988	0.2302613937
989	0.2300438944
990	0.22986191
991	0.2296417505
992	0.2293407645
993	0.2292365505
994	0.2288878392
995	0.2286476323
996	0.2282789777
997	0.2279218807
998	0.227687095
999	0.2276697364
1000	0.2274443221
1001	0.227154689
1002	0.2269212176
1003	0.2266438226
1004	0.2264431178
1005	0.226249427
1006	0.2259642879
1007	0.2257797165
1008	0.2255632015
1009	0.2252605254
1010	0.2249929638
1011	0.2248136575
1012	0.2245760647
1013	0.2244793544
1014	0.2242920033
1015	0.2241410262
1016	0.223746143
1017	0.2235770304
1018	0.2235193802
1019	0.2232516892
1020	0.2230289178
1021	0.2227627127
1022	0.2225615819
1023	0.2224990086
1024	0.2222627737
1025	0.2218622246
1026	0.2215981213
1027	0.221176119
1028	0.2211016976
1029	0.2210214759
1030	0.220968168
1031	0.220771052
1032	0.2203406834
1033	0.2203163212
1034	0.2202168538
1035	0.2197793782
1036	0.2196609138
1037	0.2193450776
1038	0.2192922823
1039	0.2189944981
1040	0.2186703726
1041	0.2184998876
1042	0.2184542128
1043	0.2183465998
1044	0.2181944438
1045	0.2179423048
1046	0.2177734999
1047	0.2176291782
1048	0.2173238443
1049	0.2170907308
1050	0.2168866783
1051	0.2165567633
1052	0.2163475436
1053	0.2161812955
1054	0.2160516785
1055	0.2159798919
1056	0.2157811777
1057	0.2154955072
1058	0.2152882114
1059	0.2150304186
1060	0.2147553804
1061	0.2146371141
1062	0.2144632421
1063	0.214271664
1064	0.2139907557
1065	0.2137395818
1066	0.2135535295
1067	0.2134322157
1068	0.2132127358
1069	0.2128830184
1070	0.2126666389
1071	0.2125010189
1072	0.2121698814
1073	0.2120410564
1074	0.2117224754
1075	0.2112650258
1076	0.210997524
1077	0.2108428559
1078	0.210517019
1079	0.2101927682
1080	0.2100834595
1081	0.2098235595
1082	0.2095947107
1083	0.2094184814
1084	0.2093616081
1085	0.2091983678
1086	0.2090445201
1087	0.2090002853
1088	0.208769699
1089	0.2085784167
1090	0.2084661506
1091	0.2084365452
1092	0.2081956456
1093	0.2079997445
1094	0.2077235284
1095	0.2075001863
1096	0.2072909312
1097	0.2071237678
1098	0.2066791427
1099	0.2063926275
1100	0.206100218
1101	0.2059506731
1102	0.2057818731
1103	0.2055925592
1104	0.2054943008
1105	0.2052499232
1106	0.2052370353
1107	0.2051170108
1108	0.2048581912
1109	0.2046975351
1110	0.2043951434
1111	0.2042079376
1112	0.2040111942
1113	0.2038393942
1114	0.2035828238
1115	0.2035318049
1116	0.2034238109
1117	0.203261401
1118	0.2027287928
1119	0.2024233931
1120	0.2023040629
1121	0.2020101864
1122	0.2018915967
1123	0.2017216984
1124	0.2016874127
1125	0.2016782029
1126	0.2015702112
1127	0.2013666776
1128	0.2012631673
1129	0.2010495969
1130	0.2007285048
1131	0.2006128297
1132	0.2004320119
1133	0.2002786267
1134	0.2002071553
1135	0.2000184961
1136	0.1999123497
1137	0.1997687792
1138	0.1996865592
1139	0.1995108555
1140	0.1994504899
1141	0.199250178
1142	0.1991701094
1143	0.1990566305
1144	0.1987552945
1145	0.1985810457
1146	0.1984631158
1147	0.1982363226
1148	0.1980024914
1149	0.1977705597
1150	0.197686054
1151	0.1973962929
1152	0.1971996109
1153	0.1970765124
1154	0.1968406777
1155	0.1965897414
1156	0.1962778683
1157	0.1961113238
1158	0.1958650935
1159	0.1957672082
1160	0.195537872
1161	0.1954051459
1162	0.1952341719
1163	0.1951386573
1164	0.1950351451
1165	0.1948080672
1166	0.1946018489
1167	0.1943704278
1168	0.1941294712
1169	0.1939201053
1170	0.1937186269
1171	0.1935819612
1172	0.193489992
1173	0.1934041094
1174	0.1931956059
1175	0.1930792738
1176	0.1928780523
1177	0.1926604272
1178	0.1925133816
1179	0.1924373852
1180	0.1921814431
1181	0.1919184285
1182	0.1917925442
1183	0.1915130255
1184	0.1913318697
1185	0.1912821227
1186	0.191174091
1187	0.1909667548
1188	0.1907648181
1189	0.1905599451
1190	0.1903680137
1191	0.1901315843
1192	0.1900468694
1193	0.1899520567
1194	0.1898679517
1195	0.189613771
1196	0.1893773158
1197	0.1892228038
1198	0.1890514007
1199	0.1889080383
1200	0.1888247529
1201	0.1885594573
1202	0.1883952248
1203	0.1880943562
1204	0.1879468465
1205	0.1877272374
1206	0.1874571108
1207	0.1873921375
1208	0.1873284312
1209	0.1871289455
1210	0.1870033356
1211	0.1867358896
1212	0.1864803412
1213	0.1862132558
1214	0.1860881822
1215	0.186038275
1216	0.1858714924
1217	0.1857506732
1218	0.1855564331
1219	0.1853995068
1220	0.18530378
1221	0.185015464
1222	0.1846523115
1223	0.1845525172
1224	0.184409964
1225	0.1842670254
1226	0.184051809
1227	0.1837754775
1228	0.1837063919
1229	0.1835737093
1230	0.1834770361
1231	0.1833430589
1232	0.1830414941
1233	0.1829548522
1234	0.1827538705
1235	0.1825766342
1236	0.1822837422
1237	0.1821325076
1238	0.1820043654
1239	0.1819202
1240	0.1817973055
1241	0.181578946
1242	0.1815288399
1243	0.181420575
1244	0.1812291206
1245	0.181065302
1246	0.1809365401
1247	0.1807981839
1248	0.1804775042
1249	0.1803032107
1250	0.1801378547
1251	0.1799061152
1252	0.1795884993
1253	0.1795221587
1254	0.1793449976
1255	0.1790695453
1256	0.1789034302
1257	0.1787725068
1258	0.1786120429
1259	0.1785012624
1260	0.1782936105
1261	0.178129623
1262	0.1780222671
1263	0.1779135158
1264	0.1778373025
1265	0.1778161928
1266	0.1776754987
1267	0.1774417941
1268	0.1773707627
1269	0.177220751
1270	0.1771125797
1271	0.1770957047
1272	0.1770157222
1273	0.1768606725
1274	0.1766769472
1275	0.1766047957
1276	0.1765297283
1277	0.1762116035
1278	0.1759752834
1279	0.1758725995
1280	0.1756797768
1281	0.1754529962
1282	0.1752854341
1283	0.1751735507
1284	0.1750883464
1285	0.1749615267
1286	0.1749279911
1287	0.1747700175
1288	0.1746563022
1289	0.1745585302
1290	0.1745002128
1291	0.1744559823
1292	0.1742089559
1293	0.1741517679
1294	0.173987668
1295	0.1739030233
1296	0.1736493367
1297	0.1734501721
1298	0.173232815
1299	0.1731778381
1300	0.1730679409
1301	0.1728299874
1302	0.1727844057
1303	0.1725885292
1304	0.1724300301
1305	0.1723058492
1306	0.1721811918
1307	0.1720641399
1308	0.171796573
1309	0.1715871219
1310	0.1714685126
1311	0.1712380927
1312	0.1710543147
1313	0.170847491
1314	0.1708133086
1315	0.1706664214
